order_item_id,order_id,product_id,quantity,unit_price,discount_percent,line_total
1,1,186,4,899.22,5,3417.04
2,1,62,3,328.48,5,936.17
3,1,45,3,604.5,0,1813.5
4,2,53,4,154.43,15,525.06
5,3,176,4,838.13,5,3184.89
6,3,155,2,1424.92,15,2422.36
7,4,165,2,518.43,15,881.33
8,4,29,1,583.3,0,583.3
9,4,155,1,1424.92,15,1211.18
10,4,85,4,955.01,15,3247.03
11,4,41,1,1467.2,15,1247.12
12,5,184,1,1116.89,15,949.36
13,5,138,4,354.58,0,1418.32
14,5,31,3,180.68,15,460.73
15,6,94,4,381.8,20,1221.76
16,7,110,3,1066.09,20,2558.62
17,7,32,1,1155.21,5,1097.45
18,7,27,3,1136.12,15,2897.11
19,7,38,3,738.02,5,2103.36
20,8,124,3,374.82,0,1124.46
21,8,54,3,705.87,0,2117.61
22,9,182,3,502.88,10,1357.78
23,9,126,3,1047.57,15,2671.3
24,9,193,3,120.38,15,306.97
25,9,63,3,13.21,20,31.7
26,10,153,2,132.04,5,250.88
27,10,10,3,1212.62,0,3637.86
28,10,195,2,186.49,10,335.68
29,11,93,2,1458.57,20,2333.71
30,11,183,3,384.59,15,980.7
31,11,75,4,1010.82,10,3638.95
32,11,79,2,1320.11,5,2508.21
33,11,184,2,1116.89,20,1787.02
34,12,99,2,1297.46,0,2594.92
35,12,66,2,452.09,20,723.34
36,12,164,3,648.28,5,1847.6
37,13,4,4,762.98,15,2594.13
38,13,67,2,817.87,10,1472.17
39,13,94,2,381.8,20,610.88
40,13,185,3,1110.52,20,2665.25
41,13,131,3,482.77,15,1231.06
42,14,166,2,167.25,15,284.32
43,14,44,4,1135.35,0,4541.4
44,14,135,1,786.74,10,708.07
45,14,124,2,374.82,10,674.68
46,15,58,3,425.03,20,1020.07
47,15,39,1,1212.09,5,1151.49
48,16,128,1,336.07,20,268.86
49,16,118,2,323.17,5,614.02
50,16,146,3,589.4,0,1768.2
51,17,161,1,305.51,10,274.96
52,17,26,1,336.79,0,336.79
53,17,85,4,955.01,20,3056.03
54,17,130,2,1204.11,5,2287.81
55,18,190,2,28.28,5,53.73
56,18,47,4,41.34,5,157.09
57,18,177,1,1082.91,20,866.33
58,19,142,2,867.78,0,1735.56
59,19,72,2,69.22,20,110.75
60,19,24,3,218.05,0,654.15
61,20,59,4,1293.41,15,4397.59
62,20,63,1,13.21,20,10.57
63,21,82,1,164.34,5,156.12
64,22,30,2,1456.91,0,2913.82
65,22,114,2,1003.67,20,1605.87
66,22,22,4,1315.79,10,4736.84
67,22,122,1,1229.45,20,983.56
68,23,29,2,583.3,20,933.28
69,23,185,4,1110.52,0,4442.08
70,23,114,3,1003.67,15,2559.36
71,23,200,3,130.97,15,333.97
72,24,85,4,955.01,20,3056.03
73,24,130,3,1204.11,10,3251.1
74,25,137,3,486.37,20,1167.29
75,25,64,3,1179.84,15,3008.59
76,25,88,1,1158.97,5,1101.02
77,26,2,4,1018.28,5,3869.46
78,26,82,2,164.34,0,328.68
79,26,131,4,482.77,10,1737.97
80,26,121,1,432.84,15,367.91
81,27,164,2,648.28,5,1231.73
82,27,176,1,838.13,5,796.22
83,27,138,2,354.58,10,638.24
84,28,79,1,1320.11,10,1188.1
85,28,82,2,164.34,20,262.94
86,28,197,2,1363.67,10,2454.61
87,28,136,2,125.45,5,238.35
88,28,121,4,432.84,5,1644.79
89,29,157,2,702.9,10,1265.22
90,29,170,4,1240.34,20,3969.09
91,30,200,3,130.97,15,333.97
92,30,186,3,899.22,10,2427.89
93,30,69,2,1441.56,10,2594.81
94,30,59,3,1293.41,10,3492.21
95,31,116,4,1019.2,15,3465.28
96,31,79,1,1320.11,15,1122.09
97,31,109,1,583.94,15,496.35
98,32,166,3,167.25,0,501.75
99,32,36,2,237.73,5,451.69
100,32,117,3,458.42,10,1237.73
101,33,7,4,247.89,10,892.4
102,33,83,2,1335.67,5,2537.77
103,33,110,4,1066.09,10,3837.92
104,34,20,2,1166.24,5,2215.86
105,35,186,4,899.22,0,3596.88
106,35,123,4,344.71,15,1172.01
107,35,185,2,1110.52,10,1998.94
108,36,151,3,325.37,10,878.5
109,36,97,3,273.81,15,698.22
110,36,16,3,539.35,0,1618.05
111,36,26,4,336.79,5,1279.8
112,36,15,1,576.39,10,518.75
113,37,39,2,1212.09,20,1939.34
114,37,151,1,325.37,15,276.56
115,37,77,2,1494.18,10,2689.52
116,37,147,3,1262.35,20,3029.64
117,38,75,1,1010.82,10,909.74
118,38,177,3,1082.91,15,2761.42
119,38,6,2,888.01,5,1687.22
120,38,36,3,237.73,15,606.21
121,38,198,2,857.26,15,1457.34
122,39,86,3,1358.95,10,3669.17
123,39,51,1,207.14,5,196.78
124,39,174,1,280.94,15,238.8
125,40,102,1,530.99,20,424.79
126,40,125,3,118.51,0,355.53
127,40,13,4,1059.81,0,4239.24
128,40,136,3,125.45,20,301.08
129,41,73,1,852.19,0,852.19
130,41,148,1,50.18,20,40.14
131,41,86,1,1358.95,20,1087.16
132,41,163,2,1196.38,20,1914.21
133,42,147,4,1262.35,20,4039.52
134,43,193,4,120.38,10,433.37
135,43,19,4,1035.36,15,3520.22
136,44,167,1,695.01,5,660.26
137,44,85,3,955.01,15,2435.28
138,45,200,4,130.97,20,419.1
139,45,178,3,1039.01,0,3117.03
140,45,190,4,28.28,0,113.12
141,45,111,1,812.29,5,771.68
142,45,6,3,888.01,15,2264.43
143,46,67,3,817.87,20,1962.89
144,46,58,4,425.03,5,1615.11
145,47,91,2,1253.55,5,2381.74
146,47,184,3,1116.89,5,3183.14
147,47,148,1,50.18,0,50.18
148,47,40,1,1420.95,5,1349.9
149,47,49,3,1359.08,0,4077.24
150,48,81,2,984.42,5,1870.4
151,48,59,3,1293.41,5,3686.22
152,48,169,4,1380.23,10,4968.83
153,49,56,3,515.56,0,1546.68
154,49,198,2,857.26,15,1457.34
155,50,97,1,273.81,15,232.74
156,51,98,4,1387.49,15,4717.47
157,51,13,4,1059.81,5,4027.28
158,52,198,1,857.26,0,857.26
159,52,98,2,1387.49,20,2219.98
160,53,186,2,899.22,0,1798.44
161,53,133,4,674.41,20,2158.11
162,53,32,3,1155.21,10,3119.07
163,53,42,4,718.17,5,2729.05
164,53,194,2,1218.6,0,2437.2
165,54,93,4,1458.57,0,5834.28
166,54,123,1,344.71,15,293.0
167,54,66,4,452.09,15,1537.11
168,54,131,1,482.77,10,434.49
169,54,29,3,583.3,10,1574.91
170,55,112,3,114.26,5,325.64
171,56,167,4,695.01,15,2363.03
172,57,71,3,1412.98,0,4238.94
173,58,64,1,1179.84,5,1120.85
174,58,46,2,682.71,5,1297.15
175,59,196,2,1188.2,10,2138.76
176,59,10,3,1212.62,20,2910.29
177,59,16,4,539.35,5,2049.53
178,59,153,4,132.04,5,501.75
179,60,133,2,674.41,10,1213.94
180,60,39,1,1212.09,5,1151.49
181,61,128,2,336.07,10,604.93
182,62,161,3,305.51,0,916.53
183,62,96,1,1389.39,10,1250.45
184,62,68,1,880.42,15,748.36
185,62,160,1,1394.04,5,1324.34
186,63,12,2,1245.81,5,2367.04
187,63,139,1,105.7,0,105.7
188,63,97,3,273.81,5,780.36
189,63,196,1,1188.2,15,1009.97
190,64,29,4,583.3,15,1983.22
191,65,138,1,354.58,10,319.12
192,65,113,4,998.45,15,3394.73
193,65,35,3,454.68,5,1295.84
194,65,155,3,1424.92,20,3419.81
195,66,158,1,914.8,15,777.58
196,66,172,4,373.36,20,1194.75
197,66,184,2,1116.89,5,2122.09
198,67,132,2,1081.72,5,2055.27
199,67,34,1,276.19,0,276.19
200,68,73,2,852.19,10,1533.94
201,68,158,2,914.8,10,1646.64
202,68,27,3,1136.12,15,2897.11
203,68,64,3,1179.84,5,3362.54
204,69,109,2,583.94,20,934.3
205,69,96,1,1389.39,15,1180.98
206,69,170,1,1240.34,5,1178.32
207,70,4,1,762.98,5,724.83
208,70,37,2,1384.43,15,2353.53
209,71,3,4,638.66,10,2299.18
210,71,147,2,1262.35,20,2019.76
211,71,124,4,374.82,15,1274.39
212,72,117,3,458.42,20,1100.21
213,72,160,4,1394.04,0,5576.16
214,73,168,3,787.4,10,2125.98
215,73,197,2,1363.67,10,2454.61
216,73,132,3,1081.72,15,2758.39
217,74,117,3,458.42,0,1375.26
218,74,170,3,1240.34,15,3162.87
219,74,25,1,1123.05,20,898.44
220,74,172,2,373.36,0,746.72
221,74,88,2,1158.97,15,1970.25
222,75,31,3,180.68,5,514.94
223,76,79,1,1320.11,20,1056.09
224,76,116,2,1019.2,15,1732.64
225,76,112,2,114.26,5,217.09
226,77,199,2,1421.91,10,2559.44
227,77,5,2,978.33,20,1565.33
228,78,135,2,786.74,20,1258.78
229,78,13,2,1059.81,10,1907.66
230,78,137,2,486.37,0,972.74
231,78,93,2,1458.57,20,2333.71
232,78,139,2,105.7,5,200.83
233,79,157,4,702.9,10,2530.44
234,79,109,4,583.94,20,1868.61
235,79,52,4,372.07,15,1265.04
236,79,72,4,69.22,10,249.19
237,79,13,2,1059.81,10,1907.66
238,80,20,3,1166.24,20,2798.98
239,81,54,1,705.87,0,705.87
240,81,188,4,198.61,5,754.72
241,81,157,2,702.9,15,1194.93
242,82,196,4,1188.2,5,4515.16
243,82,63,4,13.21,15,44.91
244,83,50,3,364.63,5,1039.2
245,83,64,4,1179.84,0,4719.36
246,83,90,2,176.69,5,335.71
247,83,19,4,1035.36,5,3934.37
248,83,58,3,425.03,10,1147.58
249,84,164,1,648.28,20,518.62
250,85,135,4,786.74,5,2989.61
251,85,27,4,1136.12,10,4090.03
252,85,198,1,857.26,20,685.81
253,86,117,3,458.42,10,1237.73
254,86,40,1,1420.95,15,1207.81
255,86,19,3,1035.36,0,3106.08
256,86,194,4,1218.6,15,4143.24
257,86,185,2,1110.52,15,1887.88
258,87,58,1,425.03,20,340.02
259,87,134,3,1130.15,5,3220.93
260,87,27,4,1136.12,15,3862.81
261,88,15,3,576.39,10,1556.25
262,88,164,3,648.28,20,1555.87
263,88,27,3,1136.12,15,2897.11
264,88,198,3,857.26,10,2314.6
265,89,4,1,762.98,15,648.53
266,90,150,2,697.93,20,1116.69
267,90,127,4,987.53,10,3555.11
268,91,200,4,130.97,20,419.1
269,92,145,4,737.46,0,2949.84
270,92,97,1,273.81,20,219.05
271,92,156,1,365.43,20,292.34
272,92,133,1,674.41,0,674.41
273,92,171,2,375.79,10,676.42
274,93,173,1,574.69,10,517.22
275,93,182,4,502.88,15,1709.79
276,93,155,1,1424.92,15,1211.18
277,93,108,4,1181.78,0,4727.12
278,93,101,2,1289.3,20,2062.88
279,94,7,3,247.89,0,743.67
280,94,162,3,1161.0,15,2960.55
281,95,187,4,547.71,10,1971.76
282,96,175,2,517.1,10,930.78
283,96,89,4,668.33,0,2673.32
284,96,91,3,1253.55,15,3196.55
285,97,197,3,1363.67,15,3477.36
286,97,42,3,718.17,5,2046.78
287,97,54,4,705.87,0,2823.48
288,98,91,2,1253.55,10,2256.39
289,98,158,3,914.8,0,2744.4
290,98,138,1,354.58,15,301.39
291,99,160,2,1394.04,15,2369.87
292,99,128,2,336.07,10,604.93
293,99,164,4,648.28,10,2333.81
294,100,113,2,998.45,5,1897.06
295,100,93,3,1458.57,0,4375.71
296,100,194,1,1218.6,5,1157.67
297,101,80,3,1252.28,20,3005.47
298,101,130,2,1204.11,15,2046.99
299,101,180,1,372.52,5,353.89
300,101,165,1,518.43,0,518.43
301,101,144,4,1104.6,10,3976.56
302,102,184,3,1116.89,15,2848.07
303,102,88,2,1158.97,15,1970.25
304,103,189,3,1049.15,20,2517.96
305,104,22,2,1315.79,20,2105.26
306,104,83,2,1335.67,10,2404.21
307,104,58,1,425.03,15,361.28
308,104,114,2,1003.67,5,1906.97
309,104,11,2,1459.94,5,2773.89
310,105,166,3,167.25,5,476.66
311,105,56,1,515.56,20,412.45
312,105,38,4,738.02,15,2509.27
313,105,4,4,762.98,20,2441.54
314,106,146,4,589.4,20,1886.08
315,106,50,4,364.63,10,1312.67
316,106,106,3,181.86,10,491.02
317,106,48,4,20.71,10,74.56
318,106,133,3,674.41,5,1922.07
319,107,139,2,105.7,10,190.26
320,107,92,2,199.89,20,319.82
321,107,20,2,1166.24,0,2332.48
322,108,182,2,502.88,10,905.18
